TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
EURRUB;60;10820;10000;87.5570000;87.6140000;87.3920000;87.3920000;11
EURRUB;60;10820;20000;87.3920000;87.4410000;87.3920000;87.4410000;5
EURRUB;60;20820;230000;87.4320000;87.4390000;87.4320000;87.4390000;4
EURRUB;60;30820;0;87.0400000;87.1110000;87.0090000;87.1110000;7
EURRUB;60;30820;10000;87.4017000;87.4017000;87.0390000;87.1945000;32
EURRUB;60;30820;20000;87.1945000;87.4010000;86.9490000;87.4010000;22
EURRUB;60;30820;30000;87.3750000;87.3940000;86.9320000;87.2730000;12
EURRUB;60;30820;40000;86.9890000;87.2920000;86.6060000;86.7460000;12
EURRUB;60;30820;50000;86.7370000;86.9853000;86.6040000;86.9092000;4532
EURRUB;60;30820;60000;86.9092000;87.0300000;86.8214000;86.8834000;4410
EURRUB;60;30820;70000;86.8844000;87.4017000;86.8532000;86.9509000;573
EURRUB;60;30820;80000;86.8930000;87.1050000;86.8834000;87.0570000;2353
EURRUB;60;30820;90000;87.0630000;87.3014000;86.9510000;87.3014000;712
EURRUB;60;30820;100000;87.4240000;87.6447000;87.2057000;87.3384000;7004
EURRUB;60;30820;110000;87.3438000;87.6839000;86.9477000;87.1208000;29490
EURRUB;60;30820;120000;87.1208000;87.3418000;86.9692000;87.1675000;20964
EURRUB;60;30820;130000;87.1690000;87.1868000;86.7663000;86.8390000;16998
EURRUB;60;30820;140000;86.8390000;86.8855000;86.3438000;86.4626000;19203
EURRUB;60;30820;150000;86.4626000;86.5442000;86.3601000;86.5000000;15254
EURRUB;60;30820;160000;86.5000000;86.8189000;86.4590000;86.6935000;19053
EURRUB;60;30820;170000;86.6930000;86.7294000;86.4389000;86.5750000;22892
EURRUB;60;30820;180000;86.5662000;86.5962000;86.1446000;86.2041000;31393
EURRUB;60;30820;190000;86.2045000;86.2373000;86.0237000;86.2094000;17931
EURRUB;60;30820;200000;86.2094000;86.2770000;85.9597000;86.1308000;10808
EURRUB;60;30820;210000;86.1306000;86.2196000;86.0535000;86.1105000;9094
EURRUB;60;30820;220000;86.1189000;86.1989000;86.0550000;86.1615000;6773
EURRUB;60;30820;230000;86.1615000;86.2143000;86.0217000;86.0878000;6511
EURRUB;60;40820;0;86.0892000;86.1076000;85.8460000;85.8882000;3843
EURRUB;60;40820;10000;86.0090000;86.0090000;85.7650000;85.8748000;35
EURRUB;60;40820;20000;85.8748000;85.9990000;85.7670000;85.8650000;1040
EURRUB;60;40820;30000;85.8663000;85.9350000;85.7570000;85.8650000;1949
EURRUB;60;40820;40000;85.8641000;85.9390000;85.7510000;85.8166000;4105
EURRUB;60;40820;50000;85.8166000;85.9522000;85.7500000;85.8486000;4371
EURRUB;60;40820;60000;85.8486000;85.9587000;85.7841000;85.9499000;4054
EURRUB;60;40820;70000;85.9499000;86.0170000;85.8298000;85.8634000;3148
EURRUB;60;40820;80000;85.8693000;86.0580000;85.8580000;85.9630000;1153
EURRUB;60;40820;90000;85.9630000;85.9864000;85.8411000;85.9076000;3306
EURRUB;60;40820;100000;85.9097000;86.1120000;85.7452000;85.8604000;8131
EURRUB;60;40820;110000;85.8604000;86.7354000;85.8518000;86.6954000;28716
EURRUB;60;40820;120000;86.6944000;86.8481000;86.5282000;86.7072000;22149
EURRUB;60;40820;130000;86.6872000;86.9811000;86.6760000;86.9739000;18747
EURRUB;60;40820;140000;86.9740000;87.2562000;86.7827000;86.8813000;20873
