dt;price
03.09.2020;73.8588
02.09.2020;73.5849
01.09.2020;73.8039
29.08.2020;74.6382
28.08.2020;75.2354
27.08.2020;75.5379
26.08.2020;74.5126
25.08.2020;74.4184
22.08.2020;74.0999
21.08.2020;73.7711
20.08.2020;73.2392
19.08.2020;73.4321
18.08.2020;72.9676
15.08.2020;73.2157
14.08.2020;73.6067
13.08.2020;73.2351
12.08.2020;73.1522
11.08.2020;73.775
08.08.2020;73.6376
07.08.2020;73.0397
06.08.2020;73.2806
05.08.2020;73.3806
04.08.2020;74.1586
01.08.2020;73.4261
31.07.2020;73.3633
